@RELATION Timestamps

@ATTRIBUTE fecha DATE yyyy-MM-dd HH
@ATTRIBUTE cantidad real

@DATA

2021-01-01,23
2022-01-01,9
2021-02-01,102
2022-02-01,31
2021-03-01,147
2022-03-01,15
2020-04-01,2
2021-04-01,150
2022-04-01,4
2020-05-01,37
2021-05-01,149
2022-05-01,2
2020-06-01,104
2021-06-01,76
2022-06-01,1
2020-07-01,85
2021-07-01,39
2022-07-01,1
2020-08-01,132
2021-08-01,11
2022-08-01,6
2020-09-01,57
2021-09-01,14
2020-10-01,33
2021-10-01,7
2020-11-01,19
2021-11-01,2
2020-12-01,14
2021-12-01,7
2021-01-10,45
2022-01-10,9
2021-02-10,132
2022-02-10,32
2021-03-10,124
2022-03-10,8
2020-04-10,8
2021-04-10,151
2022-04-10,5
2020-05-10,47
2021-05-10,123
2020-06-10,94
2021-06-10,55
2020-07-10,97
2021-07-10,23
2022-07-10,3
2020-08-10,113
2021-08-10,20
2020-09-10,58
2021-09-10,12
2020-10-10,20
2021-10-10,5
2020-11-10,25
2021-11-10,6
2020-12-10,22
2021-12-10,8
2021-01-11,44
2022-01-11,13
2021-02-11,162
2022-02-11,31
2021-03-11,132
2022-03-11,9
2020-04-11,8
2021-04-11,149
2022-04-11,1
2020-05-11,65
2021-05-11,124
2022-05-11,3
2020-06-11,78
2021-06-11,65
2020-07-11,114
2021-07-11,27
2020-08-11,102
2021-08-11,18
2020-09-11,64
2021-09-11,7
2020-10-11,19
2021-10-11,5
2020-11-11,15
2021-11-11,6
2020-12-11,26
2021-12-11,9
2021-01-12,42
2022-01-12,13
2021-02-12,148
2022-02-12,26
2021-03-12,107
2022-03-12,5
2020-04-12,11
2021-04-12,160
2022-04-12,4
2020-05-12,53
2021-05-12,119
2022-05-12,1
2020-06-12,74
2021-06-12,46
2022-06-12,1
2020-07-12,101
2021-07-12,28
2022-07-12,1
2020-08-12,107
2021-08-12,17
2020-09-12,56
2021-09-12,8
2020-10-12,25
2021-10-12,7
2020-11-12,15
2021-11-12,7
2020-12-12,22
2021-12-12,6
2021-01-13,67
2022-01-13,14
2021-02-13,127
2022-02-13,28
2021-03-13,131
2022-03-13,7
2020-04-13,18
2021-04-13,147
2022-04-13,2
2020-05-13,74
2021-05-13,115
2022-05-13,1
2020-06-13,96
2021-06-13,39
2022-06-13,1
2020-07-13,105
2021-07-13,29
2020-08-13,120
2021-08-13,14
2020-09-13,48
2021-09-13,4
2020-10-13,23
2021-10-13,4
2020-11-13,15
2021-11-13,2
2020-12-13,10
2021-12-13,11
2021-01-14,50
2022-01-14,20
2021-02-14,123
2022-02-14,25
2021-03-14,126
2022-03-14,9
2020-04-14,20
2021-04-14,149
2022-04-14,4
2020-05-14,54
2021-05-14,107
2022-05-14,3
2020-06-14,78
2021-06-14,54
2022-06-14,1
2020-07-14,99
2021-07-14,17
2022-07-14,6
2020-08-14,119
2021-08-14,16
2020-09-14,51
2021-09-14,8
2020-10-14,16
2021-10-14,4
2020-11-14,19
2021-11-14,13
2020-12-14,29
2021-12-14,8
2021-01-15,69
2022-01-15,18
2021-02-15,120
2022-02-15,22
2021-03-15,135
2022-03-15,2
2020-04-15,18
2021-04-15,166
2022-04-15,3
2020-05-15,68
2021-05-15,102
2022-05-15,3
2020-06-15,109
2021-06-15,56
2020-07-15,115
2021-07-15,18
2022-07-15,6
2020-08-15,118
2021-08-15,15
2020-09-15,52
2021-09-15,12
2020-10-15,17
2021-10-15,8
2020-11-15,9
2021-11-15,9
